ticker,n_rows
AAPL,3274
ABBV,2015
ABT,3274
AEP,3274
AMD,3274
AMGN,0
AMT,3274
AMZN,3274
APD,3274
APP,0
AVGO,2872
AXP,3274
BA,3274
BAC,3274
BKNG,0
C,3274
CAT,0
CBRE,3274
CCI,3274
CEG,0
CMCSA,3274
COP,3274
COST,0
CSCO,3274
CTVA,406
CVX,3274
D,3274
DE,3274
DHR,3274
DIS,0
DLR,3274
DUK,3274
ECL,3274
EQIX,3274
ETN,3274
ETR,3274
EXC,3274
FCX,3274
GE,3274
GEV,0
GILD,3274
GOOG,3274
GS,3274
HD,0
HON,3274
ISRG,0
JNJ,3274
JPM,3274
KO,3274
LIN,0
LLY,3274
LMT,3274
LOW,3274
MCD,3274
META,0
MO,3274
MPC,2397
MRK,0
MS,3274
MSFT,3274
MU,3274
NFLX,3274
O,3274
ORCL,3274
PDD,614
PEP,3274
PG,3274
PLD,3274
PLTR,65
PM,3223
PSA,0
PSX,2196
RTX,3274
SHW,3274
SO,3274
SPG,0
SRE,0
T,3274
TJX,3274
TMUS,3274
TSLA,2647
UNH,3274
UNP,3274
V,3221
VLO,3274
VMC,3274
VST,1068
VTR,3274
VZ,3274
WFC,3274
WMB,3274
WMT,3274
XEL,0
XOM,3274
