ticker,variable,mean,std,n_obs,n_outliers_3sigma,pct_outliers_3sigma
AAPL,Return,0.0010413193295493563,0.02019055270746605,3273,53,1.6193095019859456
ABBV,Return,0.0006560364338324453,0.01800565360796223,2014,27,1.3406156901688182
ABT,Return,0.0004672496218364759,0.014215001737555199,3273,49,1.497097464100214
AEP,Return,0.0002150021816111147,0.014145620893669645,3273,49,1.497097464100214
AMD,Return,0.0014621343733275977,0.038925642435650484,3273,54,1.6498625114573784
AMT,Return,0.0006144770735981146,0.017994764971306417,3273,61,1.8637335777574089
AMZN,Return,0.001285816597195886,0.023531521381546135,3273,58,1.7720745493431105
APD,Return,0.0004333370906542354,0.01764105408294242,3273,58,1.7720745493431105
AVGO,Return,0.0013388292764746478,0.022558280110885336,2871,44,1.532567049808429
AXP,Return,0.000504439139245449,0.02482389382196284,3273,67,2.0470516345860066
BA,Return,0.0004834644894551319,0.023294077318043064,3273,40,1.2221203788573174
BAC,Return,0.0004408364477907209,0.03459011279275179,3273,61,1.8637335777574089
C,Return,0.00012253154854932862,0.03648235117906991,3273,59,1.8026275588145433
CBRE,Return,0.0009534200152170664,0.03784837394688147,3273,76,2.322028719828903
CCI,Return,0.0005449883419743493,0.01939027689781739,3273,63,1.924839596700275
CMCSA,Return,0.0006562641966306713,0.018872164746533242,3273,55,1.6804155209288116
COP,Return,4.587830614492905e-05,0.023102736549965478,3273,54,1.6498625114573784
CSCO,Return,0.0002734448434613098,0.018846197592373423,3273,54,1.6498625114573784
CTVA,Return,0.0011085007520693659,0.029477161394660115,405,8,1.9753086419753085
CVX,Return,8.9482615148527e-05,0.019204618302590855,3273,42,1.2832263978001834
D,Return,0.0001803351815272483,0.013991017729802905,3273,44,1.3443324167430493
DE,Return,0.0005029634677992981,0.02157276698393633,3273,59,1.8026275588145433
DHR,Return,0.000636363936346042,0.015162774719657187,3273,55,1.6804155209288116
DLR,Return,0.0005778735341042591,0.022317300347597352,3273,71,2.1692636724717387
DUK,Return,0.00015800541092879448,0.013369403511820761,3273,50,1.5276504735716467
ECL,Return,0.0005065167723203957,0.01610160095610103,3273,53,1.6193095019859456
EQIX,Return,0.0007911033127416478,0.022195809162320702,3273,55,1.6804155209288116
ETN,Return,0.00042482667573099276,0.0200849629284673,3273,50,1.5276504735716467
ETR,Return,4.624879501547706e-06,0.01532455512784546,3273,46,1.405438435685915
EXC,Return,-0.00011316276464594545,0.017178556945325885,3273,49,1.497097464100214
FCX,Return,0.00036323921868631543,0.035707487265552264,3273,57,1.7415215398716772
GE,Return,-0.0001638758708452315,0.02294165097641957,3273,71,2.1692636724717387
GILD,Return,0.000409005006514143,0.019207059766660962,3273,48,1.466544454628781
GOOG,Return,0.0006081971771822279,0.01865589232145661,3273,55,1.6804155209288116
GS,Return,0.0003031057104345838,0.024376443677848292,3273,55,1.6804155209288116
HON,Return,0.00048698400207238055,0.01729089176233748,3273,60,1.833180568285976
