company name,symbol (acronym),date of listing,stock offering
"Agilent Technologies, Inc. Common Stock",A,2020-07-02,NYSE
Alcoa Corporation Common Stock,AA,2020-07-02,NYSE
Goldman Sachs Physical Gold ETF Shares,AAAU,2018-08-15,BATS
"ATA Creativity Global - American Depositary Shares, each representing two common shares",AACG,2019-03-11,NASDAQ
AdvisorShares Dorsey Wright ADR ETF,AADR,2010-07-21,NASDAQ
"American Airlines Group, Inc. - Common Stock",AAL,2005-09-27,NASDAQ
,AAMC,2012-12-13,
Atlantic American Corporation - Common Stock,AAME,1980-03-17,NASDAQ
,AAN,1982-11-04,
"Applied Optoelectronics, Inc. - Common Stock",AAOI,2013-09-26,NASDAQ
"AAON, Inc. - Common Stock",AAON,1992-12-16,NASDAQ
Advance Auto Parts Inc.,AAP,2001-11-29,NYSE
Apple Inc. - Common Stock,AAPL,1980-12-12,NASDAQ
"American Assets Trust, Inc. Common Stock",AAT,2011-01-13,NYSE
,AAU,2005-12-20,
,AAWW,2005-11-09,
iShares MSCI All Country Asia ex Japan ETF,AAXJ,2008-08-15,NASDAQ
,AAXN,2020-07-02,
AllianceBernstein Holding L.P.  Units,AB,1988-04-14,NYSE
,ABB,2001-04-06,
AbbVie Inc. Common Stock,ABBV,2013-01-02,NYSE
,ABC,1995-04-04,
Ameris Bancorp Common Stock,ABCB,1994-05-19,NYSE
Abeona Therapeutics Inc. - Common Stock,ABEO,1997-07-23,NASDAQ
Absolute Select Value ETF,ABEQ,2020-01-22,NYSE ARCA
Ambev S.A. American Depositary Shares (Each representing 1 Common Share),ABEV,1997-03-05,NYSE
Asbury Automotive Group Inc Common Stock,ABG,2002-03-21,NYSE
,ABIO,2004-02-02,
ABM Industries Incorporated Common Stock,ABM,1980-03-17,NYSE
,ABMD,2020-07-02,
Arbor Realty Trust Common Stock,ABR,2004-04-07,NYSE
Abbott Laboratories Common Stock,ABT,1980-03-17,NYSE
,ABTX,2015-10-08,
Arbutus Biopharma Corporation - Common Stock,ABUS,2007-07-26,NASDAQ
,AC,2015-11-10,
"Arcosa, Inc. Common Stock",ACA,2018-11-05,NYSE
ACADIA Pharmaceuticals Inc. - Common Stock,ACAD,2004-05-27,NASDAQ
,ACAM,2019-05-09,
,ACAMU,2020-07-01,
,ACAMW,2020-07-02,
Aurora Cannabis Inc. - Common Shares,ACB,2000-01-10,NASDAQ
,ACBI,2015-11-02,
,ACC,2004-08-16,
Acco Brands Corporation Common Stock,ACCO,2005-08-17,NYSE
,ACE-W,,
"Accel Entertainment, Inc.",ACEL,2019-03-11,NYSE
,ACER,2006-01-31,
ALPS Clean Energy ETF,ACES,2018-06-29,NYSE ARCA
Arch Capital Group Ltd. - Common Stock,ACGL,1995-09-14,NASDAQ
"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",ACGLO,2017-08-21,NASDAQ
,ACGLP,2016-09-23,
,ACH,2001-12-11,
"Acadia Healthcare Company, Inc. - Common Stock",ACHC,2020-07-02,NASDAQ
"Achieve Life Sciences, Inc.  - Common Shares",ACHV,1995-10-12,NASDAQ
"Albertsons Companies, Inc. Class A Common Stock",ACI,2000-01-04,NYSE
,ACIA,2016-05-13,
Aptus Collared Investment Opportunity ETF,ACIO,2020-07-02,BATS
AC Immune SA - Common Stock,ACIU,2016-09-23,NASDAQ
"ACI Worldwide, Inc. - Common Stock",ACIW,1995-02-24,NASDAQ
"Axcelis Technologies, Inc. - Common Stock",ACLS,2000-07-11,NASDAQ
AECOM Common Stock,ACM,2007-05-10,NYSE
"ACM Research, Inc. - Class A Common Stock",ACMR,2017-11-02,NASDAQ
Accenture plc Class A Ordinary Shares (Ireland),ACN,2001-07-19,NYSE
ACNB Corporation - Common Stock,ACNB,1994-04-04,NASDAQ
,ACOR,2020-07-02,
abrdn Income Credit Strategies Fund Common Shares,ACP,2011-01-27,NYSE
Ares Commercial Real Estate Corporation Common Stock,ACRE,2012-04-27,NYSE
"Aclaris Therapeutics, Inc. - Common Stock",ACRS,2015-10-07,NASDAQ
,ACRX,2011-02-11,
American Century ETF Trust American Century Small Cap Growth Insights ETF,ACSG,2018-12-06,BATS
American Customer Satisfaction ETF,ACSI,2016-11-07,BATS
,ACST,2020-07-02,
"Enact Holdings, Inc. - Common Stock",ACT,2017-12-13,NASDAQ
Acacia Research Corporation - Common Stock,ACTG,2002-12-16,NASDAQ
,ACTT,2019-05-14,
,ACTTU,2019-04-26,
,ACTTW,2020-06-19,
Acme United Corporation. Common Stock,ACU,1980-03-17,AMEX
Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,ACV,2015-05-22,NYSE
,ACWF,2015-05-04,
iShares MSCI ACWI ETF,ACWI,2008-03-28,NASDAQ
iShares MSCI Global Min Vol Factor ETF,ACWV,2011-10-20,BATS
iShares MSCI ACWI ex U.S. ETF,ACWX,2008-04-01,NASDAQ
,ACY,1998-01-20,
,ADAP,2015-05-06,
Adobe Inc. - Common Stock,ADBE,1986-08-13,NASDAQ
Agree Realty Corporation Common Stock,ADC,1994-04-15,NYSE
ADC Therapeutics SA Common Shares,ADCT,2020-05-18,NYSE
,ADES,2020-07-02,
"Analog Devices, Inc. - Common Stock",ADI,1980-03-17,NASDAQ
"Adial Pharmaceuticals, Inc - Common Stock",ADIL,2018-07-27,NASDAQ
,ADILW,2020-06-30,
Archer-Daniels-Midland Company Common Stock,ADM,1980-03-17,NYSE
ADMA Biologics Inc - Common Stock,ADMA,2013-10-18,NASDAQ
Aptus Drawdown Managed Equity ETF,ADME,2016-06-13,BATS
,ADMP,1995-08-14,
,ADMS,2014-04-10,
Adient plc Ordinary Shares,ADNT,2016-10-17,NYSE
"Automatic Data Processing, Inc. - Common Stock",ADP,1980-03-17,NASDAQ
Adaptive Biotechnologies Corporation - Common Stock,ADPT,2019-06-27,NASDAQ
,ADRE,2002-11-14,
,ADRO,2015-04-15,
,ADS,2001-06-15,
"Autodesk, Inc. - Common Stock",ADSK,1985-06-28,NASDAQ
,ADSW,2016-10-06,
ADT Inc. Common Stock,ADT,2018-01-19,NYSE
"ADTRAN Holdings, Inc. - Common Stock",ADTN,1994-08-10,NASDAQ
"Aditxt, Inc. - Common Stock",ADTX,2020-06-30,NASDAQ
Addus HomeCare Corporation - Common Stock,ADUS,2009-10-28,NASDAQ
"Adverum Biotechnologies, Inc. - Common Stock",ADVM,2014-07-31,NASDAQ
Adams Diversified Equity Fund Inc.,ADX,1980-03-17,NYSE
Addex Therapeutics Ltd - American Depositary Shares,ADXN,2020-01-29,NASDAQ
,ADXS,2005-07-28,
,AE,1975-02-07,
,AEB,2005-11-23,
Ameren Corporation Common Stock,AEE,,NYSE
"abrdn Emerging Markets ex-China Fund, Inc. Common Stock",AEF,1989-09-26,AMEX
Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,AEFC,2019-10-24,NYSE
Aegon Ltd. New York Registry Shares,AEG,1985-06-28,NYSE
,AEGN,1981-12-03,
Aehr Test Systems - Common Stock,AEHR,2020-07-02,NASDAQ
"Advanced Energy Industries, Inc. - Common Stock",AEIS,2020-07-02,NASDAQ
,AEL,2003-12-04,
Agnico Eagle Mines Limited Common Stock,AEM,1973-02-21,NYSE
"Aethlon Medical, Inc. - Common Stock",AEMD,2002-02-11,NASDAQ
"American Eagle Outfitters, Inc. Common Stock",AEO,1994-04-14,NYSE
"American Electric Power Company, Inc. - Common Stock",AEP,1970-01-02,NASDAQ
AerCap Holdings N.V. Ordinary Shares,AER,2020-07-02,NYSE
,AERI,2013-10-25,
The AES Corporation Common Stock,AES,1991-06-26,NYSE
,AESE,2017-10-25,
